level,module,eclass,abstract,current_container,proposed_container,feature,feature_kind,feature_type,opposite,verdict,rationale,flags
psm,awspsm-events.emf,EventBridgeHttpTargetParameters,False,(none),(none),pathParameterValues,val,HttpParameter,,val,containment owner,unreachable
psm,awspsm-events.emf,EventBridgeInputTransformer,False,EventBridgeTarget.inputTransformer,EventBridgeTarget.inputTransformer,,,,,ok,leaf classifier,
psm,awspsm-integrations.emf,EventBridgeLambdaTargetView,False,(none),(none),permission,ref,LambdaPermission,,flag: unreachable,cross-link,unreachable
psm,awspsm-events.emf,EventBridgeOAuthParameters,False,(none),(none),oauthHttpParameters,val,EventBridgeHttpParameters,,flag: unreachable,containment owner,unreachable
psm,awspsm-events.emf,EventBridgePipe,False,(none),(none),sourceResource,ref,AwsResource,,flag: unreachable,cross-link,unreachable
psm,awspsm-events.emf,EventBridgePipe,False,(none),(none),targetResource,ref,AwsResource,,ref,cross-link,unreachable
psm,awspsm-events.emf,EventBridgePipe,False,(none),(none),enrichmentFunction,ref,AwsLambdaFunction,,ref,cross-link,unreachable
psm,awspsm-events.emf,EventBridgeRule,False,(none),(none),eventPattern,val,EventPattern,,flag: unreachable,containment owner,unreachable
psm,awspsm-events.emf,EventBridgeRule,False,(none),(none),targets,val,EventBridgeTarget,,val,containment owner,unreachable
psm,awspsm-events.emf,EventBridgeRule,False,(none),(none),bus,ref,EventBridgeBus,rules,ref,cross-link,unreachable
psm,awspsm-events.emf,EventBridgeSchedule,False,(none),(none),flexibleTimeWindow,val,EventBridgeFlexibleTimeWindow,,flag: unreachable,containment owner,unreachable
psm,awspsm-events.emf,EventBridgeSqsTargetParameters,False,(none),(none),,,,,flag: unreachable,leaf classifier,unreachable
psm,awspsm-events.emf,EventBridgeTarget,False,EventBridgeRule.targets,EventBridgeRule.targets,input,val,ValueExpression,,val,containment owner,
psm,awspsm-events.emf,EventBridgeTarget,False,EventBridgeRule.targets,EventBridgeRule.targets,parameters,val,EventBridgeTargetParameters,,val,containment owner,
psm,awspsm-events.emf,EventBridgeTarget,False,EventBridgeRule.targets,EventBridgeRule.targets,retryPolicy,val,AwsRetryPolicy,,val,containment owner,
psm,awspsm-events.emf,EventBridgeTarget,False,EventBridgeRule.targets,EventBridgeRule.targets,inputTransformer,val,EventBridgeInputTransformer,,val,containment owner,
psm,awspsm-events.emf,EventBridgeTarget,False,EventBridgeRule.targets,EventBridgeRule.targets,targetResource,ref,AwsResource,,ref,cross-link,
psm,awspsm-events.emf,EventBridgeTarget,False,EventBridgeRule.targets,EventBridgeRule.targets,role,ref,IamRole,,ref,cross-link,
psm,awspsm-events.emf,EventBridgeTarget,False,EventBridgeRule.targets,EventBridgeRule.targets,deadLetterQueue,ref,SqsQueue,,ref,cross-link,
psm,awspsm-events.emf,EventBridgeTargetParameters,True,EventBridgeTarget.parameters,EventBridgeTarget.parameters,,,,,ok,leaf classifier,
psm,awspsm-events.emf,EventPattern,False,EventBridgeRule.eventPattern,EventBridgeRule.eventPattern,,,,,ok,leaf classifier,
psm,awspsm-security.emf,GenerateSecretStringConfig,False,SecretsManagerSecret.generateSecretString,SecretsManagerSecret.generateSecretString,,,,,ok,leaf classifier,
psm,awspsm-compute.emf,GenericLambdaEventSourceMapping,False,(none),(none),eventSourceResource,ref,AwsResource,,flag: unreachable,cross-link,unreachable
psm,awspsm-api.emf,HttpApi,False,(none),(none),,,,,flag: unreachable,leaf classifier,unreachable
psm,awspsm-api.emf,HttpApiRoute,False,(none),(none),,,,,flag: unreachable,leaf classifier,unreachable
psm,awspsm-api.emf,HttpApiStage,False,(none),(none),,,,,flag: unreachable,leaf classifier,unreachable
psm,awspsm-events.emf,HttpParameter,False,EventBridgeHttpTargetParameters.headerParameters; EventBridgeHttpTargetParameters.queryStringParameters; EventBridgeHttpTargetParameters.pathParameterValues; EventBridgeHttpParameters.headerParameters; EventBridgeHttpParameters.queryStringParameters; EventBridgeHttpParameters.bodyParameters,EventBridgeHttpTargetParameters.headerParameters; EventBridgeHttpTargetParameters.queryStringParameters; EventBridgeHttpTargetParameters.pathParameterValues; EventBridgeHttpParameters.headerParameters; EventBridgeHttpParameters.queryStringParameters; EventBridgeHttpParameters.bodyParameters,,,,,flag: multiple-containment,leaf classifier,multiple-containment
psm,awspsm-security.emf,IamCondition,False,IamStatement.conditions,IamStatement.conditions,,,,,ok,leaf classifier,
psm,awspsm-security.emf,IamInlinePolicy,False,IamRole.inlinePolicies,IamRole.inlinePolicies,,,,,ok,leaf classifier,
psm,awspsm-security.emf,IamManagedPolicy,False,(none),(none),,,,,flag: unreachable,leaf classifier,unreachable
psm,awspsm-security.emf,IamPolicy,False,(none),(none),roles,ref,IamRole,,flag: unreachable,cross-link,unreachable
psm,awspsm-security.emf,IamPolicyDocument,False,ApiGatewayApi.apiPolicy; EventBridgeBusPolicy.policyDocument; SqsQueuePolicy.policyDocument; SnsTopicPolicy.policyDocument; KmsKey.keyPolicy; SecretsManagerResourcePolicy.resourcePolicy; DynamoDbTable.resourcePolicy; S3BucketPolicy.policyDocument,ApiGatewayApi.apiPolicy; EventBridgeBusPolicy.policyDocument; SqsQueuePolicy.policyDocument; SnsTopicPolicy.policyDocument; KmsKey.keyPolicy; SecretsManagerResourcePolicy.resourcePolicy; DynamoDbTable.resourcePolicy; S3BucketPolicy.policyDocument,statements,val,IamStatement,,flag: multiple-containment,containment owner,multiple-containment
psm,awspsm-security.emf,IamPrincipal,False,IamStatement.principals,IamStatement.principals,,,,,ok,leaf classifier,
psm,awspsm-security.emf,IamRole,False,(none),(none),inlinePolicies,val,IamInlinePolicy,,flag: unreachable,containment owner,unreachable
psm,awspsm-security.emf,IamRole,False,(none),(none),managedPolicies,ref,IamManagedPolicy,,ref,cross-link,unreachable
psm,awspsm-security.emf,IamStatement,False,IamPolicyDocument.statements,IamPolicyDocument.statements,principals,val,IamPrincipal,,val,containment owner,
psm,awspsm-security.emf,IamStatement,False,IamPolicyDocument.statements,IamPolicyDocument.statements,conditions,val,IamCondition,,val,containment owner,
psm,awspsm-api.emf,JwtAuthorizer,False,(none),(none),,,,,flag: unreachable,leaf classifier,unreachable
psm,awspsm-security.emf,KmsAlias,False,(none),(none),,,,,flag: unreachable,leaf classifier,unreachable
psm,awspsm-security.emf,KmsKey,False,(none),(none),keyPolicy,val,IamPolicyDocument,,flag: unreachable,containment owner,unreachable
psm,awspsm-security.emf,KmsKey,False,(none),(none),aliases,ref,KmsAlias,targetKey,ref,cross-link,unreachable
